temperature,wind,gust,cloud,humidity,weather
30,12,14,55,72,Rain
33,17,20,71,55,Rain
30,15,23,73,68,Rain
28,13,22,83,78,Rain
27,12,19,49,81,Rain
27,10,15,79,83,Rain
30,14,20,85,68,Rain
33,17,26,79,56,Rain
33,16,22,79,58,Rain
30,14,22,75,71,Rain
28,14,23,80,79,Rain
27,12,18,57,85,Rain
30,13,16,33,70,Rain
32,12,17,30,65,Rain
28,9,12,34,83,Rain
34,15,18,43,53,Rain
32,16,30,81,62,Rain
33,17,28,84,60,Rain
30,16,25,78,71,Rain
28,15,25,81,80,Rain
27,15,25,76,83,Rain
26,12,21,71,87,Rain
27,13,22,75,87,Rain
30,17,23,82,72,Rain
32,18,24,75,61,Rain
32,14,25,71,64,Rain
30,11,21,83,72,Rain
28,12,20,40,79,Rain
28,16,35,77,78,Rain
27,15,27,69,83,Rain
27,13,21,80,85,Rain
27,10,16,86,86,Rain
27,8,13,81,84,Rain
30,12,14,83,72,Rain
33,14,16,72,61,Rain
31,19,36,66,75,Rain
28,18,31,77,84,Rain
26,13,20,64,88,Rain
26,8,12,54,89,Rain
26,8,12,77,88,Rain
27,12,19,66,84,Rain
30,19,32,71,72,Rain
30,22,39,61,72,Rain
27,18,37,72,84,Rain
26,14,26,70,91,Rain
25,13,22,59,89,Rain
26,7,11,69,89,Rain
26,4,5,66,88,Rain
29,10,14,64,78,Rain
31,17,26,70,66,Rain
30,18,30,76,71,Rain
27,13,25,86,83,Rain
27,12,19,82,87,Rain
26,11,17,84,87,Rain
26,4,6,83,87,Rain
29,13,21,87,77,Rain
31,17,33,77,71,Rain
30,15,33,65,75,Rain
28,12,25,66,83,Rain
27,9,17,67,86,Rain
27,9,13,80,89,Rain
26,6,10,44,89,Rain
30,12,23,76,77,Rain
28,10,18,80,85,Rain
28,8,11,40,87,Rain
32,13,21,77,66,Rain
29,12,21,86,76,Rain
28,9,16,85,82,Rain
27,9,13,81,84,Rain
27,8,11,40,87,Rain
30,10,17,71,72,Rain
29,8,13,79,78,Rain
28,6,9,84,81,Rain
